title,contentsid,type_value,type_label,address,roadaddress,postcode,phoneno,latitude,longitude,region1cd_value,region1cd_label,region2cd_value,region2cd_label,photoid,imgpath,thumbnailpath,introduction,alltags,tag
란펜션,CNTS_000000000019259,c3,숙박,제주특별자치도 제주시 용담삼동 997-1,제주특별자치도 제주시 용마서1길 19-2,,064-713-2221,33.5155248,126.5045608,region1,제주시,11,제주시내,4761,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/340753c9-b2f0-4a15-a234-acaee21b202d.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/5e93555d-3bd0-4b3e-a8f3-53008531b583.jpg,걸어서 5분거리에 용두암이 위치한 란펜션은 앞에는바다 뒤에는 한라산자락이 멀리보이고 차로5분거리에 이마트가위치해있습니다.,"펜션,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설,아주 어려움","펜션,숙소,휴양펜션,게스트하우스,단체여행객,바비큐,해변,자연경관,엘리베이터"
해변의집,CNTS_000000000019076,c3,숙박,제주특별자치도 제주시 도두일동 1725,제주특별자치도 제주시 서해안로 224-1,,064-713-1255,33.508289,126.470821,region1,제주시,11,제주시내,4223,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/6c4a7e21-da67-4b56-84ce-19882a4390b1.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/cfaed659-9c87-42de-a7be-9efdb4fde873.jpg,용두암과 이호해수욕장사이 해안도로변에 위치한 해변의집 펜션은 주변에 제주해수피아가 있으며 유명먹거리식당도 많이 있습니다.,"휴식,숙소,펜션,휴양펜션,주차장,해안도로,해수욕장,체험,바비큐,찜질방,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움","휴식,숙소,펜션,휴양펜션,주차장,해안도로,해수욕장,체험,바비큐,찜질방"
아침의향기,CNTS_000000000018221,c3,숙박,제주특별자치도 서귀포시 색달동 1609-1,제주특별자치도 서귀포시 색달중앙로 122,,064-738-4679,33.265678,126.414409,region2,서귀포시,21,서귀포시내,1637,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/518bdb42-4a2f-402a-821a-e1488f4c6fc1.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/3843a80e-a9ee-4440-a1f4-863603431fe0.jpg,"제주에서 즐기는 고품격 서비스, 아침의 향기와 함께 하세요","펜션,숙소,휴양펜션,주차장,중문관광단지,서귀포,체험,바비큐,공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,유도 및 안내시설,경보 및 피난시설,아주 어려움","펜션,숙소,휴양펜션,주차장,중문관광단지,서귀포,체험,바비큐"
레지나펜션,CNTS_000000000000615,c3,숙박,제주특별자치도 서귀포시 강정동 925-2,제주특별자치도 서귀포시 이어도로 789,63564,064-730-0800,33.236835,126.49956,region2,서귀포시,21,서귀포시내,127,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/02825191-38b5-461a-966e-0752ae93d931.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/9934ba36-76d0-43dd-994f-450c45e9b960.jpg,바다와 한라산 조망이 가능한 펜션,"펜션,숙소,휴양펜션,온돌방,가족,단체여행객,바비큐,공공와이파이존,교통,해수욕장,해변,공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,유도 및 안내시설,경보 및 피난시설","펜션,숙소,휴양펜션,온돌방,가족,단체여행객,바비큐,공공와이파이존,교통,해수욕장,해변"
아이존호텔,CNTS_000000000020913,c3,숙박,제주특별자치도 제주시 연동 261-36,제주특별자치도 제주시 신광로4길 18,,064-747-9958,33.4890384,126.4882686,region1,제주시,11,제주시내,10178,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/8d445307-3098-4842-aa4f-5d0199bbcaa1.gif,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/89516c7a-3520-4659-9c62-5e284d8e7ac9.gif,신제주 중심가에 위치한 먹을거리와 즐길거리가 가까이에 있는 호텔,"호텔,숙소,교통,주차장,공항,패키지관광,공용주차장,현금결제,카드결제,화장실,무료 WIFI,유도 및 안내시설,경보 및 피난시설,엘리베이터,단차없음,시각장애인 접근성,승강기,장애인 전용 주차장,장애인 전용 객실,어려움","호텔,숙소,교통,주차장,공항,패키지관광,무장애관광"
다이브게스트하우스,CNTS_000000000019251,c3,숙박,제주도 서귀포시 강정동 349-2,제주도 서귀포시 월드컵로 222,,064-739-3333,33.24188,126.50498,region2,서귀포시,21,서귀포시내,4715,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/78f31af4-c0ce-4f48-ab47-b5a5b561eec1.gif,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/371ab619-5e7b-4355-991a-44dd6ebc3c7a.gif,스쿠버다이빙 체험 기회를 제공하는 게스트하우스,"숙소,게스트하우스,민박,수상레저,체험,레저/체험,스쿠버다이빙,주차장,공공와이파이존,교통,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움","숙소,게스트하우스,민박,수상레저,체험,레저/체험,스쿠버다이빙,주차장,공공와이파이존,교통,농어촌민박"
강남하우스펜션,CNTS_000000000019349,c3,숙박,제주특별자치도 서귀포시 대정읍 상모리 133-1,제주특별자치도 서귀포시 대정읍 형제해안로 316,63513,010-2886-3527,33.207195,126.29035,region2,서귀포시,22,대정,5057,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/2b265e42-f08c-44e6-b5db-8193806ab0d6.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/7d90ba92-ee0d-476c-a563-b76a9b69c903.jpg,낭만과 추억이 가득한 아름다운 펜션,"휴식,숙소,휴양펜션,펜션,서귀포,바비큐,가족,자연경관","휴식,숙소,휴양펜션,펜션,서귀포,바비큐,가족,자연경관,농어촌민박"
제주나인리조트,CNTS_200000000013408,c3,숙박,제주특별자치도 제주시 해안동 2109,제주특별자치도 제주시 해안마을북길 14-5,,064-722-2222,33.4650239,126.4537337,region1,제주시,11,제주시내,2019022601769,https://api.cdn.visitjeju.net/photomng/imgpath/202206/15/de827a01-8e92-44fe-9d56-524cc1b422d6.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202206/15/eed4a8bd-774f-4d5c-aaaa-80b0eac4bbf0.jpg,"가족, 모임, 세미나, 워크숍 등 단체 여행객들이 이용하기 좋은 리조트","숙소,주차장,가족호텔,호텔,안전여행스탬프,2성급","숙소,주차장,가족호텔,호텔,안전여행스탬프"
헤세드하우스,CNTS_200000000013416,c3,숙박,제주특별자치도 서귀포시 표선면 세화리 240-3,제주특별자치도 서귀포시 표선면 가마행남로 42,,064-733-7114,33.3053725,126.8049995,region2,서귀포시,26,표선,2019022601777,https://api.cdn.visitjeju.net/photomng/imgpath/202206/15/443761b6-a77a-4bbd-bc9e-7c0bda432dcc.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202206/15/5f5a3262-7d56-4487-8146-5985c92113dc.jpg,"올레 4번길과 가마포구, 매오름을 즐길 수 있는 호텔","숙소,공공와이파이존,바비큐,호텔,안전여행스탬프","숙소,공공와이파이존,바비큐,호텔,안전여행스탬프"
별마로펜션,CNTS_000000000019022,c3,숙박,제주특별자치도 제주시 이호1동 687,제주특별자치도 제주시 항골남길 32-16,63108,064-713-8788,33.49821,126.46017,region1,제주시,11,제주시내,4173,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/020216f9-4dcd-420b-bbdb-00a5c7e15c6a.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/433ea5b7-a6f1-469d-96d4-2507e25ce2a5.jpg,아름다운 별이 보이는 야경과 한라산이 한눈에 보이는 곳,"펜션,숙소,휴양펜션,바비큐,해수욕장,공공와이파이존,노래방,해변,자연경관,산책로,안전인증민박,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움","펜션,숙소,휴양펜션,바비큐,해수욕장,공공와이파이존,노래방,해변,자연경관,산책로,안전인증민박"
청정고을민박,CNTS_200000000009126,c3,숙박,제주특별자치도 제주시 추자면 대서리 4-29,제주특별자치도 제주시 추자면 대서1길 6,,064-742-4800,33.9642903,126.2929862,region3,섬 속의 섬,32,추차도,2019022560424,https://api.cdn.visitjeju.net/photomng/imgpath/201908/20/39d66f34-261b-4115-9123-0f5491d36690.JPG,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201908/20/6d98172e-6471-49d5-8b7e-6e41ad07e3f1.JPG,추자항에서 걸어서 1분거리인 가까운 민박,"추자민박,추자도민박,상추자항근처민박,상추자도숙소,추자숙소,추자도,무료 WIFI,화장실,편의점,카드결제,현금결제,없음,동반불가능,유료제공,전체금연,없음,운행안함","추자민박,추자도민박,상추자항근처민박,상추자도숙소,추자숙소,추자도,숙소,민박,농어촌민박,식당,단체여행객"
유창민박,CNTS_200000000009081,c3,숙박,제주특별자치도 제주시 추자면 대서리 146,제주특별자치도 제주시 추자면 추자로 46-1,,064-742-3555,33.9642903,126.2929862,region3,섬 속의 섬,32,추차도,2019022559963,https://api.cdn.visitjeju.net/photomng/imgpath/201908/20/79a6188d-7cae-4d49-b10e-0f349fe9e103.JPG,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201908/20/8e25e8ec-9bf2-490e-9ad9-f4018ed0b45e.JPG,공연장과 버스정류장 바로 앞 위치,"추자민박,추자공연장,추자도,카드결제,현금결제,어려움,없음,동반불가능,유료제공,전체금연,세탁서비스,인터넷,없음,운행","추자민박,추자공연장,추자도,숙소,민박,농어촌민박,주차장"
이찌마루&잠비,CNTS_000000000021499,c3,숙박,제주특별자치도 제주시 구좌읍 월정리 583-1,제주특별자치도 제주시 구좌읍 월정1길 54-11,63358,070-8900-8300,33.555485,126.79351,region1,제주시,16,구좌,11425,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/1309e60a-1883-455a-96bf-8e944122692a.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/b2a7572f-0ccf-4b57-8b73-d1cedbbc3074.jpg,일본의 맛 이찌마루와 소박한 독채펜션 잠비 하우스,"현금결제,카드결제,화장실","숙소,펜션,휴양펜션,독채,마을관광,마을산책"
비스비제주 앤 팜빌리지,CNTS_000000000019487,c3,숙박,제주특별자치도 서귀포시 호근동 1641-2,제주특별자치도 서귀포시 속골로 29-10,,064-739-5100,33.2427503,126.5279492,region2,서귀포시,21,서귀포시내,5393,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/d963967b-1444-469e-b855-6942c9324ba6.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/8df7e72e-a63f-485d-9747-4a48d8d51b73.jpg,프라이빗 모던 펜션,"휴식,숙소,펜션,휴양펜션,스파,독채,바비큐,수영장,조식 포함,공공와이파이존,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움","휴식,숙소,펜션,휴양펜션,스파,독채,바비큐,수영장,조식 포함,공공와이파이존"
펜션 에덴호스텔,CNTS_000000000022142,c3,숙박,제주특별자치도 제주시 용담3동 2382,제주특별자치도 제주시 서해안로 456-12,63114,064-749-0006,33.5184357,126.4893095,region1,제주시,11,제주시내,13046,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/295f4266-75d5-4667-9b29-eaf5c0189373.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/78884c14-6c9f-4307-9416-777860f184ee.jpg,제주국제공항으로부터 차로 7~8분 거리에 위치한 펜션,"휴식 ,화장실,무료 WIFI","휴식,숙소,휴양펜션,펜션,단체여행객,힐링쉼터,자연경관,산책로"
스톤성민박,CONT_000000000500950,c3,숙박,제주특별자치도 서귀포시 색달동 2366,제주특별자치도 서귀포시 일주서로 866,,064-738-2607,33.25879,126.418106,region2,서귀포시,21,서귀포시내,22381,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/71cd0ebe-d8b1-438d-a6a7-39eefacd51d9.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/ed2bb629-8369-4bd1-87bd-e2852719bf60.jpg,"중문관광단지 입구에 있으며 발코니방에서도 중문 바닷가를 한눈에 볼 수 있고, 복도에서는 한라산을 볼 수 있는 곳","펜션,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설,아주 어려움","펜션,숙소,민박,농어촌민박,휴양펜션,교통,편의시설"
마니주팬션,CNTS_000000000019279,c3,숙박,제주특별자치도 제주시 도두일동 1688-9,제주특별자치도 제주시 서해안로 248,,064-711-6141,33.5089545,126.4722988,region1,제주시,11,제주시내,4825,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/eddfa8cd-20ea-4d6d-96fb-a206dd58e0ae.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/9574d60b-5eff-4887-98a3-a4247b28c257.jpg,관광지와 가까운 마니주펜션,"숙소,펜션,휴양펜션,자연경관,바비큐,공공와이파이존,해수욕장,해안도로,해변,가족,공용주차장,현금결제,카드결제,화장실,무료 WIFI,유도 및 안내시설,경보 및 피난시설,아주 어려움","숙소,펜션,휴양펜션,자연경관,바비큐,공공와이파이존,해수욕장,해안도로,해변,가족"
가이아호텔,CONT_000000000500780,c3,숙박,제주특별자치도 제주시 연동 272-4,제주특별자치도 제주시 연동7길 4,,064-742-6110,33.4894172,126.4906421,region1,제주시,11,제주시내,20856,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/d9c820a8-91f7-49db-abad-d58c9f1a4dc5.gif,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/bc6cfed1-eca4-45ca-9e02-b41f56f10880.gif,"바오젠거리 내에 위치하여, 관광 및 쇼핑을 편리하게 다닐수 있는 호텔","호텔,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설,장애인 전용 주차장,아주 어려움","호텔,숙소,일반숙박,공공와이파이존,중문관광단지,올레길,카페,무장애관광"
탑팰리스호텔,CNTS_000000000018205,c3,숙박,제주특별자치도 제주시 일도일동 1279-5,제주특별자치도 제주시 중앙로 34,,064-721-8898,33.5152449,126.5245946,region1,제주시,11,제주시내,1604,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/493f057f-67cc-4c38-9a59-28a29cc55326.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/a984014a-bc88-477a-99ae-8cd79e5c3596.jpg,"탑동에 위치, 에메랄드빛 바다가 내려다 보이는 호텔","호텔,숙소,공공와이파이존,양식레스토랑,주차장,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설,경보 및 피난시설,엘리베이터,승강기,장애인 전용 객실,아주 어려움","호텔,숙소,공공와이파이존,양식레스토랑,주차장,무장애관광"
파밀리아호텔,CNTS_000000000021482,c3,숙박,제주특별자치도 서귀포시 대포동 2079,제주특별자치도 서귀포시 대포동서로 63-20,63544,064-738-2599,33.24088,126.43825,region2,서귀포시,21,서귀포시내,11379,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/47b571da-df2d-428e-9cd4-3a44d6d28a04.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/a8c137eb-db07-4346-b329-6232102d8cbf.jpg,"가족과 함께 머물고 싶은 곳, 파밀리아","호텔,숙소,중문관광단지,오션뷰호텔,자연경관,레저/체험,조식,비즈니스센터,주차장,공용주차장,화장실,엘리베이터,단독접근가능,단차없음,승강기,장애인 전용 주차장,어려움","호텔,숙소,중문관광단지,오션뷰호텔,자연경관,레저/체험,조식,비즈니스센터,주차장,무장애관광"
나무아래독채펜션,CNTS_000000000021710,c3,숙박,제주특별자치도 제주시 구좌읍 송당리 1859,제주특별자치도 제주시 구좌읍 송당서길 51-1,63355,010-4602-3509,33.466885,126.76945,region1,제주시,16,구좌,11717,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/94767261-aa1a-453c-aa87-b1999362ed02.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/05547080-a040-4f46-9710-79aedef01200.jpg,오름의 마을 송당리에 위치한 자연속의 나무아래독채펜션,"숙소,휴양펜션,펜션,독채,주방기구,힐링,바비큐,공공와이파이존,온돌방,공용주차장,무료 WIFI","숙소,휴양펜션,펜션,독채,주방기구,힐링,바비큐,공공와이파이존,온돌방"
쿨쿨하우스,CONT_000000000500925,c3,숙박,제주특별자치도 서귀포시 동홍동 819-5,제주특별자치도 서귀포시 동홍로262번길 62,63579,064-767-5000,33.269596,126.57267,region2,서귀포시,21,서귀포시내,22171,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/57173b91-a6e6-4a0f-8754-eb25cf4a1e5a.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/7075b92a-29c2-4f04-835b-ba39b7e9138d.jpg,서귀포 향토 오일시장 인근에 위치한 게스트하우스,"게스트하우스,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,아주 어려움","게스트하우스,독채,단체여행객,주차장,공공와이파이존,정원"
썬라이즈호텔,CNTS_000000000020903,c3,숙박,제주특별자치도 서귀포시 중문동 2453,제주특별자치도 서귀포시 중문관광로 310,,064-763-2299,33.2474985,126.4305878,region2,서귀포시,24,중문,10160,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/2638f96b-59e0-452d-b642-9e4e1cb7dc89.gif,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/cda970b6-b25d-47ba-86bb-9104c7ede252.gif,중문관광단지에 위치한 강렬한 태양을 담은 포근한 숙소,"호텔,숙소,수영장,산책로,조식,해변,주차장,공공와이파이존,관광호텔,가족호텔,공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움","호텔,숙소,수영장,산책로,조식,해변,주차장,공공와이파이존,관광호텔,가족호텔"
늘해랑펜션,CNTS_000000000022555,c3,숙박,제주특별자치도 서귀포시 서홍동 2487-13,제주특별자치도 서귀포시 분토왓로174번길 34-1,,010-6609-5509,33.2639577,126.5507293,region2,서귀포시,21,서귀포시내,15315,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/bde55de8-5edf-462b-95ba-602e39d9ec3a.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/05d9b981-0044-4acf-9474-244949b3cf08.jpg,서귀포월드컵경기장과 가까운 전원주택 느낌의 펜션,"펜션,숙소,휴양펜션,온돌방,독채,바비큐,공공와이파이존,농어촌민박,공용주차장","펜션,숙소,휴양펜션,온돌방,독채,바비큐,공공와이파이존,농어촌민박"
